album_id,album_name,album_type,album_group,total_tracks,release_date,spotify_url,image_url
6HiRRMXgflIyrpjCiPW8rU,"Doves, '25 on Blank Canvas",album,album,16,2025-02-24,https://open.spotify.com/album/6HiRRMXgflIyrpjCiPW8rU,https://i.scdn.co/image/ab67616d0000b27305898628baab6ef07a0a4d03
0DMdiWcqnutCi81EqBXkF8,Lagipula Hidup Akan Berakhir,album,album,28,2023-07-21,https://open.spotify.com/album/0DMdiWcqnutCi81EqBXkF8,https://i.scdn.co/image/ab67616d0000b27349bdf0e981cbba25d48b44e0
1DAuVHMlBvIjzWZALSUXbn,Menari Dengan Bayangan,album,album,15,2019-11-29,https://open.spotify.com/album/1DAuVHMlBvIjzWZALSUXbn,https://i.scdn.co/image/ab67616d0000b273d623688488865906052ef96b
6v7H5Z1KzDz9xb2XOyWCqZ,Jika,single,single,1,2025-01-01,https://open.spotify.com/album/6v7H5Z1KzDz9xb2XOyWCqZ,https://i.scdn.co/image/ab67616d0000b273b2ca5186c969f115f0be8e66
0a28dOkcC53FjmLwNpVEOm,right where you left me,single,single,1,2024-07-05,https://open.spotify.com/album/0a28dOkcC53FjmLwNpVEOm,https://i.scdn.co/image/ab67616d0000b273461174d0c68db545494dda65
2VSBJPq9DNX2HERo1nBUZW,Setiap Waktu,single,single,1,2024-03-05,https://open.spotify.com/album/2VSBJPq9DNX2HERo1nBUZW,https://i.scdn.co/image/ab67616d0000b273d8ddd4ebd8a11dc83cf58b95
0GHJ9U8QJERPiIaxxgKrH8,Rasakan Nikmatnya Hidup,single,single,1,2023-08-17,https://open.spotify.com/album/0GHJ9U8QJERPiIaxxgKrH8,https://i.scdn.co/image/ab67616d0000b27392ff0f8af66806743fb2291b
02f1wRPbpqbqiaCKqAuW3P,"Kami Khawatir, Kawan",single,single,4,2023-06-02,https://open.spotify.com/album/02f1wRPbpqbqiaCKqAuW3P,https://i.scdn.co/image/ab67616d0000b2739287b2d10b97ebb3492ef463
1Qes5yXkUVK0L7w681emMr,Perkara Tubuh,single,single,3,2023-05-18,https://open.spotify.com/album/1Qes5yXkUVK0L7w681emMr,https://i.scdn.co/image/ab67616d0000b273fc0272f94b5f9bbfa24174dd
3BzdHMiZsvce5iM3y1lflJ,Masalah Masa Depan,single,single,2,2023-04-05,https://open.spotify.com/album/3BzdHMiZsvce5iM3y1lflJ,https://i.scdn.co/image/ab67616d0000b273265942ba43207ca08a22b842
0jDClrox8tW0f2g82gVc3D,Obrolan Jam 3 Pagi,album,album,16,2025-05-06,https://open.spotify.com/album/0jDClrox8tW0f2g82gVc3D,https://i.scdn.co/image/ab67616d0000b2730974d9c2ed2931adb196b25f
1I30JEs4UfRnYz0pzkKJpg,Selamat Datang di Ujung Dunia,album,album,12,2021-03-26,https://open.spotify.com/album/1I30JEs4UfRnYz0pzkKJpg,https://i.scdn.co/image/ab67616d0000b273e7ade99f8d4323ff427e654f
3As3ggTCinS2YTULKru48j,Sofa,single,single,1,2025-02-18,https://open.spotify.com/album/3As3ggTCinS2YTULKru48j,https://i.scdn.co/image/ab67616d0000b27308155958da4d0aa4878e3dc6
5UizfLMmPsJpezsjEnBd8J,Tak Ada Waktu Tepat Untuk Berita Buruk,single,single,4,2024-09-05,https://open.spotify.com/album/5UizfLMmPsJpezsjEnBd8J,https://i.scdn.co/image/ab67616d0000b27330a6f838a45593c6651e5d7f
0V3gnXRk85cwiz9xvV7Nu6,Menit Tambahan,single,single,1,2024-06-27,https://open.spotify.com/album/0V3gnXRk85cwiz9xvV7Nu6,https://i.scdn.co/image/ab67616d0000b273515e7bebf0c4c1802251a37a
5JhRHRNwH2E9wRLPWuL2AF,Selamanya,single,single,1,2023-11-28,https://open.spotify.com/album/5JhRHRNwH2E9wRLPWuL2AF,https://i.scdn.co/image/ab67616d0000b2735ae6907c61f36a30628ba789
17msWboQwntlw4MsF9Oo4A,Rentang Asmara (Kinarya Lomba Sihir),single,single,2,2023-10-27,https://open.spotify.com/album/17msWboQwntlw4MsF9Oo4A,https://i.scdn.co/image/ab67616d0000b27347f17847eff197541e241497
1ZcVquEWwfVHmI1h35zf7b,Beraksi,single,single,1,2023-09-22,https://open.spotify.com/album/1ZcVquEWwfVHmI1h35zf7b,https://i.scdn.co/image/ab67616d0000b273a8b85626d4da3f1ec1cd4a7f
3YXscjDnEOcbx5By0UCM2w,Ribuan Memori,single,single,1,2023-04-13,https://open.spotify.com/album/3YXscjDnEOcbx5By0UCM2w,https://i.scdn.co/image/ab67616d0000b2736062de27beabb8e0bc8e9cf2
4eEcA6cWRF0fJ318tkNwG8,Pesona (Remastered 2022),single,single,2,2022-11-01,https://open.spotify.com/album/4eEcA6cWRF0fJ318tkNwG8,https://i.scdn.co/image/ab67616d0000b273bb547b3bcfac8952caf64224
0y9i2KHDYh2gKfbpUNiM86,Membangun & Menghancurkan,album,album,15,2024-08-30,https://open.spotify.com/album/0y9i2KHDYh2gKfbpUNiM86,https://i.scdn.co/image/ab67616d0000b273c800b90e2092a5328f699117
2fqv7Stqd451vyQR9qr4HX,Abdi Lara Insani: Edisi Lengkap,album,album,11,2022-08-31,https://open.spotify.com/album/2fqv7Stqd451vyQR9qr4HX,https://i.scdn.co/image/ab67616d0000b273a4733ecc65877e3481ef7639
0OKRjCw5ZtEFDIhPGvEyae,Abdi Lara Insani,album,album,8,2022-04-22,https://open.spotify.com/album/0OKRjCw5ZtEFDIhPGvEyae,https://i.scdn.co/image/ab67616d0000b273471f8a4822a3ca180612d006
57tZrOfbf4UZNwOKhWoXMG,Uang Muka,album,album,7,2020-09-11,https://open.spotify.com/album/57tZrOfbf4UZNwOKhWoXMG,https://i.scdn.co/image/ab67616d0000b273ad94984aee514c3a40a83687
3OOL3zaZdN14LLDpzRWj8e,MULTIVERSES (Revisi Final Fix Banget),album,album,10,2020-01-31,https://open.spotify.com/album/3OOL3zaZdN14LLDpzRWj8e,https://i.scdn.co/image/ab67616d0000b273a139f95c8185d8f334424732
4h4DOGY4fVzu3fQtQD3Twh,Multiverses,album,album,11,2017-09-20,https://open.spotify.com/album/4h4DOGY4fVzu3fQtQD3Twh,https://i.scdn.co/image/ab67616d0000b273294edbecdaf7655528f685a1
2LVn7NDGoMSmFCkLqRK2o4,Nina,single,single,1,2024-07-05,https://open.spotify.com/album/2LVn7NDGoMSmFCkLqRK2o4,https://i.scdn.co/image/ab67616d0000b27339695d4c16489cdf60bef536
51dxgbPZXg7VzrddgGWdGV,Politrik,single,single,1,2024-06-07,https://open.spotify.com/album/51dxgbPZXg7VzrddgGWdGV,https://i.scdn.co/image/ab67616d0000b27342a3ddf2017cbcb3b2a2e9d1
3AaZPd03LvFoBwV0OVhqDu,Konsekuens,single,single,1,2024-05-03,https://open.spotify.com/album/3AaZPd03LvFoBwV0OVhqDu,https://i.scdn.co/image/ab67616d0000b273004a0ff5d1146ba612f9a210
